Account Status,Duration in month,Credit History,Purpose,Credit amount,Savings account or bonds,Present employment since,Instalment rate in percentage of disposable income,Personal status and sex,Other debtors or guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Target
Salary assignments for at least 1 year,18,existing credits paid back duly till now,domestic appliances,1217,Savings account,1 - 4 years,4,male : married/widowed,none,3,real estate,47,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,2
Salary assignments for at least 1 year,12,critical account/ other credits existing (not at this bank),furniture/equipment,2246,Savings account,> 7 years,3,male : single,none,3,building society savings agreement/ life insurance,60,none,own,2,skilled employee / official,1,None,yes,2
Salary assignments for at least 1 year,12,critical account/ other credits existing (not at this bank),radio/television,385,Savings account,4- 7 years,4,female : divorced/separated/married,none,3,real estate,58,none,own,4,unskilled - resident,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,24,delay in paying off in the past,car(new),1965,Savings account,1 - 4 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute 6",42,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,21,existing credits paid back duly till now,business,1572,Savings account,> 7 years,4,female : divorced/separated/married,none,4,real estate,36,bank,own,1,unskilled - resident,1,None,yes,1
Salary assignments for at least 2 year,24,existing credits paid back duly till now,car(new),2718,Savings account,1 - 4 years,3,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,20,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes,2
Salary assignments for at least 1 year,24,all credits at this bank paid back duly,others,1358,Savings account,> 7 years,4,male : single,none,3,"car or other, not in attribute 6",40,stores,own,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,2
Salary assignments for at least 2 year,6,all credits at this bank paid back duly,car(new),931,Savings account, < 1 year,1,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,32,stores,own,1,unskilled - resident,1,None,yes,2
Salary assignments for at least 1 year,24,existing credits paid back duly till now,car(new),1442,Savings account,4- 7 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute 6",23,none,rent,2,skilled employee / official,1,None,yes,2
Salary assignments for at least 2 year,24,no credits taken/ all credits paid back duly,business,4241,Savings account,1 - 4 years,1,male : single,none,4,real estate,36,none,own,3,unskilled - resident,1,"yes, registered under the customers name",yes,2
No Checking account,18,critical account/ other credits existing (not at this bank),car(new),2775,Savings account,4- 7 years,2,male : single,none,2,building society savings agreement/ life insurance,31,bank,own,2,skilled employee / official,1,None,yes,2
No Checking account,24,delay in paying off in the past,business,3863,Savings account,1 - 4 years,1,male : single,none,2,unknown / no property,32,none,for free,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,7,existing credits paid back duly till now,radio/television,2329,Savings account, < 1 year,1,female : divorced/separated/married,guarantor,1,real estate,45,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,9,existing credits paid back duly till now,furniture/equipment,918,Savings account,1 - 4 years,4,female : divorced/separated/married,none,1,building society savings agreement/ life insurance,30,none,own,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 2 year,24,all credits at this bank paid back duly,education,1837,Savings account,4- 7 years,4,female : divorced/separated/married,none,4,unknown / no property,34,bank,for free,1,unskilled - resident,1,None,yes,2
No Checking account,36,existing credits paid back duly till now,furniture/equipment,3349,Savings account,1 - 4 years,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",28,none,own,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,2
Salary assignments for at least 3 year,10,existing credits paid back duly till now,furniture/equipment,1275,Savings account, < 1 year,4,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,23,none,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,24,all credits at this bank paid back duly,furniture/equipment,2828,Savings account,1 - 4 years,4,male : single,none,4,real estate,22,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,24,critical account/ other credits existing (not at this bank),business,4526,Savings account,1 - 4 years,3,male : single,none,2,real estate,74,none,own,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,36,existing credits paid back duly till now,radio/television,2671,Savings account,1 - 4 years,4,female : divorced/separated/married,co-applicant,4,unknown / no property,50,none,for free,1,skilled employee / official,1,None,yes,2
No Checking account,18,existing credits paid back duly till now,radio/television,2051,Savings account, < 1 year,4,male : single,none,1,real estate,33,none,own,1,skilled employee / official,1,None,yes,1
No Checking account,15,existing credits paid back duly till now,car(used),1300,Savings account,> 7 years,4,male : single,none,4,unknown / no property,45,bank,for free,1,skilled employee / official,2,None,yes,1
Salary assignments for at least 1 year,12,existing credits paid back duly till now,domestic appliances,741,Savings account,unemployed,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,22,none,own,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 3 year,10,existing credits paid back duly till now,car(new),1240,Savings account,> 7 years,1,female : divorced/separated/married,none,4,unknown / no property,48,none,for free,1,unskilled - resident,2,None,yes,2
Salary assignments for at least 1 year,21,existing credits paid back duly till now,radio/television,3357,Savings account, < 1 year,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",29,bank,own,1,skilled employee / official,1,None,yes,1
Salary assignments for at least 1 year,24,all credits at this bank paid back duly,car(used),3632,Savings account,1 - 4 years,1,female : divorced/separated/married,guarantor,4,"car or other, not in attribute 6",22,bank,rent,1,skilled employee / official,1,None,no,1
No Checking account,18,delay in paying off in the past,furniture/equipment,1808,Savings account,4- 7 years,4,female : divorced/separated/married,none,1,real estate,22,none,own,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 2 year,48,no credits taken/ all credits paid back duly,business,12204,Savings account,1 - 4 years,2,male : single,none,2,"car or other, not in attribute 6",48,bank,own,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,60,delay in paying off in the past,radio/television,9157,Savings account,1 - 4 years,2,male : single,none,2,unknown / no property,27,none,for free,1,"management/ self-employed/
highly qualified employee/ officer",1,None,yes,1
Salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),car(new),3676,Savings account,1 - 4 years,1,male : single,none,3,real estate,37,none,rent,3,skilled employee / official,2,None,yes,1
Salary assignments for at least 2 year,30,existing credits paid back duly till now,furniture/equipment,3441,Savings account,1 - 4 years,2,female : divorced/separated/married,co-applicant,4,"car or other, not in attribute 6",21,none,rent,1,skilled employee / official,1,None,yes,2
No Checking account,12,existing credits paid back duly till now,car(new),640,Savings account,1 - 4 years,4,male : divorced/separated,none,2,real estate,49,none,own,1,unskilled - resident,1,None,yes,1
Salary assignments for at least 2 year,21,critical account/ other credits existing (not at this bank),business,3652,Savings account,4- 7 years,2,male : single,none,3,building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,None,yes,1
No Checking account,18,critical account/ other credits existing (not at this bank),car(new),1530,Savings account,1 - 4 years,3,male : single,none,2,building society savings agreement/ life insurance,32,bank,own,2,skilled employee / official,1,None,yes,2
